wall_time,x_m,y_m,z_m,roll_rad,pitch_rad
1789203268.5064497,0.8814318008434293,4.777716650828346,1.9968318558147566,0.010464345730053998,-0.10334128590579685
1789203268.5098329,0.8814239236440937,4.77791048749892,1.9969048233609796,0.010415801861689541,-0.10302682263386218
1789203268.5161264,0.8814121369592063,4.7781986406307455,1.997013139722802,0.01034385625185627,-0.10255923736064955
1789203268.5208426,0.881404318600099,4.778389000632217,1.9970845978853125,0.010296507882930373,-0.1022502872690833
1789203268.526556,0.8813926833314801,4.7786719130845405,1.9971906620887045,0.010226495849633898,-0.10179109566140175
1789203268.5305235,0.8813850104613201,4.778858730170835,1.997260622464443,0.010180543205068213,-0.1014878319849071
1789203268.5361652,0.8813736582806092,4.779136245663347,1.997364442098262,0.010112771211943462,-0.10103730354717276
1789203268.5398123,0.8813662119983517,4.779319436332794,1.997432909069693,0.010068395861990478,-0.1007398994976059
1789203268.546362,0.8813552527256501,4.779591471769124,1.9975344918324096,0.010003097639402039,-0.10029827610990943
1789203268.5495982,0.8813481014904251,4.779770983307172,1.997601469150364,0.009960438989743364,-0.10000688229432608
1789203268.5563264,0.8813376305273879,4.780037463394433,1.9977008190138004,0.009897809062056265,-0.09957437784434896
1789203268.5597098,0.8813308303288754,4.780213270697411,1.997766311390418,0.009856978762382536,-0.09928912304326454
1789203268.5664918,0.8813209242760549,4.780474160632447,1.997863434730361,0.009797159418336813,-0.09886590600988193
1789203268.5700562,0.8813145241037125,4.780646219024026,1.997927443260641,0.00975825157831855,-0.0985868953092363
1789203268.5758405,0.8813052478142127,4.7809014659248135,1.998022342709125,0.009701378924610296,-0.09817311504035967
1789203268.5804234,0.8812992879476229,4.7810697353057625,1.9980848677564174,0.009664452696284836,-0.09790043170117427
1789203268.5862796,0.8812907016780019,4.781319260970659,1.9981775404284554,0.009610522269469731,-0.09749618850280975
1789203268.5897849,0.8812852201392877,4.781483685258863,1.9982385787518728,0.009575528031815942,-0.09722989082184398
1789203268.5961187,0.8812773712637467,4.781727421035379,1.9983290206768825,0.009524468036467755,-0.09683525761954702
1789203268.5995924,0.8812723918193504,4.781887971667882,1.998388571351455,0.009491381844638687,-0.09657538657919267
1789203268.6062016,0.881265307373318,4.782125878243957,1.9984767810224398,0.009443184409318546,-0.09619042008580138
1789203268.6094809,0.8812608426166918,4.78228253135597,1.9985348429818828,0.009412007574254448,-0.0959370090881775
1789203268.616274,0.8812545338133685,4.782514576432023,1.9986208187293864,0.009366672493816416,-0.09556175163692411
1789203268.619592,0.8812505856149933,4.782667322255935,1.998677392429351,0.009337399501948042,-0.09531482318930397
1789203268.6262755,0.8812450475398655,4.7828935085072795,1.9987611371861762,0.0092948965035186,-0.09494929277566315
1789203268.6296191,0.8812416091892957,4.783042350277404,1.9988162242479766,0.009267497283812537,-0.09470884535792302
1789203268.636397,0.8812368285130315,4.783262657105279,1.998897735761993,0.009227787578655116,-0.0943530280665347
1789203268.6397657,0.8812338872576235,4.783407573692516,1.9989513339543103,0.009202228740351865,-0.09411905099661669
1789203268.645614,0.8812298373197677,4.783621987100231,1.9990306122245827,0.009165238265127459,-0.09377293002446102
1789203268.6501062,0.8812273729213209,4.783762954190293,1.9990827184227629,0.009141463432353513,-0.09354540859150598
1789203268.6558394,0.8812240187720579,4.783971441586291,1.9991597586664789,0.009107099166038852,-0.09320895719730672
1789203268.6601954,0.8812220040713734,4.784108457921972,1.9992103727368236,0.009085035860199705,-0.09298787069947914
1789203268.6657097,0.8812193014735823,4.784311020780835,1.9992851746198137,0.009053175148795788,-0.09266104997053252
1789203268.670124,0.8812177049222165,4.784444089473297,1.9993342963672385,0.009032735862354774,-0.09244636693028944
1789203268.67567,0.8812156033769674,4.784640751266253,1.9994068628422483,0.009003238062159835,-0.09212912201880043
1789203268.6800332,0.8812143894341973,4.784769895087361,1.9994544951187347,0.008984322407413751,-0.09192079953501774
1789203268.6859794,0.8812128206636638,4.7849606802463915,1.999524813823016,0.008957008636351608,-0.0916130098206777
1789203268.690679,0.8812119214433429,4.785085918016908,1.9995709275532727,0.00893943364991327,-0.09141085315371297
1789203268.6961057,0.8812107592706657,4.785270870735091,1.9996389409303836,0.008913914038456294,-0.0911120511148549
1789203268.6993856,0.8812100917025903,4.785392227910114,1.9996835038995044,0.008897410022391758,-0.09091575735051749
1789203268.7060752,0.8812092245197835,4.785571356939078,1.9997491752656873,0.008873339396195959,-0.09062562717646273
